id,address,date,price,bedrooms,bathrooms,carparks
405204787,14 / 15 JACOBS STREET BANKSTOWN NSW 2200,1991-07-18,0,,,
405207461,1 / 61 GRAY STREET KOGARAH NSW 2217,1991-08-02,159000,,,
405207977,2 / 32 NOBLE STREET ALLAWAH NSW 2218,1991-01-21,166000,,,
405204539,1 / 33 OXFORD AVENUE BANKSTOWN NSW 2200,1991-06-11,670000,,,
405207672,90 BLAKESLEY ROAD SOUTH HURSTVILLE NSW 2221,1991-11-13,142000,,,
405207255,11 / 10 MARY STREET LAKEMBA NSW 2195,1991-09-26,105000,,,
405207987,5 / 50 NOBLE STREET ALLAWAH NSW 2218,1991-08-02,153000,,,
405207783,51 BRIGHTON STREET CROYDON NSW 2132,1991-04-12,191500,,,
405208234,14 / 8 GLOUCESTER ROAD HURSTVILLE NSW 2220,1991-12-02,146000,,,
405207771,2B / 26 BELMORE STREET BURWOOD NSW 2134,1991-02-08,0,,,
405204648,4 / 5 UNION STREET LIDCOMBE NSW 2141,1991-12-09,0,,,
405207478,3 / 28 LETITIA STREET OATLEY NSW 2223,1991-08-20,70000,,,
405207965,40 EMPRESS STREET HURSTVILLE NSW 2220,1991-09-04,153000,,,
405208640,73 WEBB STREET CROYDON NSW 2132,1991-09-23,146000,,,
405207859,3 NORMAN STREET CONCORD NSW 2137,1991-04-29,210000,,,
405208066,11 IVANHOE ROAD CROYDON NSW 2132,1991-06-13,285000,,,
405208908,19 / 121 CANTERBURY ROAD CANTERBURY NSW 2193,1991-09-24,155000,,,
405209219,9 / 15 THIRD AVENUE CAMPSIE NSW 2194,1991-12-17,133500,,,
405209441,135 CROYDON AVENUE CROYDON PARK NSW 2133,1991-06-14,131000,2,,
405209363,27 RIVERVIEW AVENUE KYLE BAY NSW 2221,1991-10-10,345000,,,
405209115,27 RIVERVIEW AVENUE KYLE BAY NSW 2221,1991-10-10,345000,,,
405208740,5 / 107 CONCORD ROAD CONCORD NSW 2137,1991-08-02,115000,,,
405208741,16 / 1 CORBY AVENUE CONCORD NSW 2137,1991-07-05,140000,,,
405209432,2 / 188 CROYDON AVENUE CROYDON PARK NSW 2133,1991-09-23,175000,,,
405209790,4 / 30 OCEAN STREET PENSHURST NSW 2222,1991-12-11,135000,,,
405209028,20 MARTIN PLACE MORTDALE NSW 2223,1991-08-13,141000,,,
405209403,29 / 24 ELDRIDGE ROAD BANKSTOWN NSW 2200,1991-05-24,0,,,
405202049,84 INGLIS STREET MUDGEE NSW 2850,1991-08-31,0,,,
405202323,2 RUPERT STREET OBERON NSW 2787,1991-06-01,90000,,,
405202421,6 / 26 GOWER STREET SUMMER HILL NSW 2130,1991-03-01,166150,,,
405202577,11 GLYNDWR AVENUE OBERON NSW 2787,1991-03-28,12000,,,
